fullname,trial,joaquin_frame
BS_04_C_Low_20190617_C2,3,456
BS_W_04_20190605_C2,2,298
DE_W_03_20190605_C2,3,401
E1_02_D_Low_20190622_C2,2,178
CPS_W_04_20190605_C2,3,400
E1_03_C_Low_20190619_C2,1,58
PB_06_C_Low_20190622_C1,2,270
GB_04_D_High_20190529_C2,2,290
MI_02_C_Low_20190623_C2,3,406
BO_01_D_Low_20190701_C2,3,259
PB_04_A_High_20190523_C2,2,461
DE_02_B_High_2_20190529_C2,2,315
MI_02_C_High_20190526_C2,1,14
BS_05_D_Low_20190619_C2,4,847
BS_05_A_High_20190530_C2,4,584
MI_01_B_Low_20190619_C2,2,208
BO_W_16_2_20190612_C2,5,991
PB_W_12_20190610_C2,3,717
LO_05_B_High_20190518_C2,3,540
CPS_W_06_20190606_C2,3,201
GB_04_A_High_20190528_C2,3,460
GB_W_10_20190529_C2,3,682
GB_02_C_Low_20190623_C2,3,439
PB_04_A_High_20190523_C2,1,46
LO_04_D_Low_20190702_C2,4,444
MI_01_A_High_20190530_C2,1,21
CPS_W_15_20190613_C2,2,252
DE_W_11_20190612_C2,4,366
LO_04_C_High_20190519_C2,3,1483
PB_05_E_High_20190529_C2,3,313
BS_05_D_Low_20190619_C2,2,354
MI_02_B_Low_20190618_C2,2,208
PB_04_C_High_20190531_C2,4,775
BO_W_14_2_20190612_C2,3,437
DT_04_D_High_20190531_C2,4,327
DT_06_A_High_20190527_C2,1,30
BO_02_B_High_20190524_C2,3,482
BS_01_A_High_20190518_C2,2,353
DE_04_A_High_20190528_C2,4,614
BO_W_03_20190606_C1,6,1235
PB_W_14_20190610_C2,6,2705
DT_W_20_20190613_C2,1,49
E1_03_C_Low_20190619_C2,3,543
BO_W_14_20190612_C2,5,1035
GB_W_01_20190528_C2,4,518
CPS_05_C_High_20190527_C2,1,23
CPS_05_A_Low_20190619_C2,4,846
DT_06_A_High_20190527_C2,6,1117
BO_05_A_Low_20190620_C2,1,30
DE_03_A_High_20190524_C2,4,597
PB_02_A_High_20190531_C2,1,51
DE_03_D_High_20190527_C2,3,414
DT_06_B_High_20190529_C2,2,290
BO_05_A_Low_20190622_C1,3,600
DT_06_A_High_20190527_C2,5,578
MI_02_C_Low_20190702_C2,4,595
BO_01_B_High_20190526_C2,2,321
E1_01_C_High_20190601_C2,1,14
DE_04_C_High_20190518_C2,4,821
LO_05_C_High_20190529_C2,6,1049
CPS_06_D_High_20190526_C1,3,701
DT_W_04_20190605_C2,2,178
DE_02_A_High_20190531_C2,1,75
E1_03_A_High_20190531_C2,2,172
PB_01_A_High_20190530_C2,3,409
CPS_04_D_High_20190523_C2,2,435
BS_W_02_20190604_C2,3,458
BO_W_07_20190606_C2,2,163
DE_02_B_High_2_20190529_C2,3,563
BS_04_A_High_20190526_C2,6,1359
LO_02_B_Low_20190619_C2,2,181
GB_W_03_20190528_C2,2,263
GB_W_04_20190529_C2,4,724
CPS_W_18_20190614_C2,1,49
PB_W_07_2_20190604_C2,4,784
GB_05_A_High_20190526_C1,4,784
MI_01_C_Low_20190625_C2,3,494
DE_02_C_High_20190526_C2,2,228
PB_W_13_20190610_C2,4,944
CPS_W_07_20190606_C2,3,313
GB_06_D_Low_20190702_C2,1,59
PB_W_08_20190605_C2,3,551
DT_03_A_Low_20190619_C2,3,594
PB_W_11_20190610_C2,1,92
PB_W_07_2_20190604_C2,3,581
DT_W_08_20190607_C2,4,658
E1_03_C_Low_20190619_C2,2,237
LO_W_02_20190611_C2,4,600
GB_04_B_Low_20190617_C2,4,769
MI_05_D_High_20190523_C2,1,25
LO_06_C_Low_20190622_C1,4,610
DT_W_05_20190605_C2,4,655
GB_01_A_High_20190524_C2,1,17
BS_05_A_High_20190530_C2,3,354
BS_05_A_Low_20190624_C2,1,57
LO_06_A_Low_20190629_C2,4,454
PB_05_A_High_20190526_C2,2,165
E1_03_C_High_20190524_C2,1,39
BS_01_A_High_20190518_C2,1,43
BO_W_07_20190606_C2,1,88