fullname,trial,frame_indexed_0,start_of_trial_indexed_0,comments
BO_01_A_High_20190518_C2,2,386,,
BO_01_A_High_20190601_C2,1,13,,
BO_01_B_High_20190526_C2,1,81,,
BO_01_B_High_20190526_C2,2,313,,
BO_01_B_High_20190526_C2,3,556,,
BO_01_B_Low_20190623_C2,3,267,,
BO_01_C_High_20190529_C2,4,699,,
BO_01_C_Low_20190630_C2,1,30,,
BO_01_D_Low_20190701_C2,3,259,,
BO_02_B_High_20190524_C2,3,481,,
BO_02_D_Low_20190702_C2,2,287,,
BO_03_B_High_20190519_C2,1,43,,
BO_03_B_High_20190519_C2,2,272,,
BO_03_B_Low_2_20190618_C2,1,59,,
BO_03_C_High_20190529_C2,3,378,,
BO_03_D_High_20190526_C2,2,281,,
BO_04_B_High_20190524_C2,1,80,,
BO_04_B_High_20190524_C2,3,524,,
BO_04_B_Low_20190618_C2,1,49,,
BO_04_B_Low_20190618_C2,2,282,,
BO_04_C_High_20190527_C2,2,307,,
BO_04_C_High_20190527_C2,3,503,,
BO_04_C_Low_20190702_C2,1,33,,
BO_04_D_High_20190530_C2,3,281,,
BO_04_D_High_20190530_C2,4,466,,
BO_04_D_Low_20190630_C2,3,551,,
BO_05_A_High_20190528_C2,3,590,,
BO_05_A_Low_20190620_C2,1,29,,
BO_05_A_Low_20190622_C1,1,49,,
BO_05_A_Low_20190622_C1,2,402,,
BO_05_A_Low_20190622_C1,3,599,,
BO_05_C_High_20190518_C2,2,359,,
BO_05_C_High_20190518_C2,4,828,,
BO_05_D_High_20190525_C2,1,45,,
BO_05_D_High_20190525_C2,4,853,,
BO_W_01_20190604_C2,4,536,,
BO_W_02_20190604_C2,1,35,,
BO_W_02_20190604_C2,4,627,,
BO_W_03_20190606_C1,4,972,,
BO_W_03_20190606_C1,6,1235,,
BO_W_04_20190605_C2,1,26,,
BO_W_04_20190605_C2,2,113,,
BO_W_05_20190605_C2,5,814,,
BO_W_06_20190606_C2,4,302,,
BO_W_07_20190606_C2,1,87,,
BO_W_07_20190606_C2,2,163,,
BO_W_07_20190606_C2,4,348,,
BO_W_08_20190606_C1,4,810,,
BO_W_09_20190607_C2,1,15,,
BO_W_10_20190607_C2,1,42,,
BO_W_10_20190607_C2,2,333,,
BO_W_11_20190611_C2,5,975,,
BO_W_13_20190611_C2,2,112,,
BO_W_14_2_20190612_C2,3,436,,
BO_W_14_20190612_C2,2,284,,
BO_W_14_20190612_C2,5,1035,,
BO_W_15_20190612_C2,3,484,,
BO_W_16_2_20190612_C2,5,991,,
BO_W_19_20190613_C2,2,178,,
BO_W_19_20190613_C2,4,589,,
BO_W_20_20190614_C2,2,258,,
BS_01_A_High_20190518_C2,1,41,,
BS_01_A_High_20190518_C2,2,353,,
BS_01_A_High_20190518_C2,3,588,,
BS_01_B_High_20190528_C2,1,52,,
BS_01_B_High_20190528_C2,3,642,,
BS_01_B_High_20190528_C2,4,934,,
BS_01_C_High_20190531_C2,2,195,,
BS_01_C_High_20190531_C2,4,563,,
BS_01_D_High_20190525_C2,4,894,,
BS_01_D_Low_20190617_C2,2,166,,
BS_01_D_Low_20190617_C2,3,431,,
BS_01_D_Low_20190617_C2,4,581,,
BS_02_A_High_20190519_C2,1,30,,
BS_02_B_High_20190529_C2,1,78,,
BS_02_B_High_20190529_C2,2,290,,
BS_02_C_High_20190526_C2,1,30,,
BS_02_C_High_20190526_C2,3,555,,
BS_02_D_High_20190531_C2,2,270,,
BS_02_D_High_20190531_C2,3,411,,
BS_02_D_High_20190531_C2,5,787,,
BS_03_B_Low_20190702_C2,1,6,,
BS_03_B_Low_20190702_C2,2,215,,
BS_03_C_Low_20190630_C2,2,266,,
BS_04_A_High_20190526_C2,2,283,,
BS_04_A_High_20190526_C2,3,468,,
BS_04_A_High_20190526_C2,4,787,,
BS_04_A_High_20190526_C2,6,1358,,
BS_04_A_Low_20190620_C2,1,54,,
BS_04_A_Low_20190622_C1,1,60,,
BS_04_A_Low_20190622_C1,3,536,,
BS_04_B_High_20190528_C2,1,35,,
BS_04_B_High_20190528_C2,3,633,,
BS_04_B_Low_20190629_C2,2,209,,
BS_04_C_Low_20190617_C2,2,224,,
BS_04_C_Low_20190617_C2,3,456,,
BS_04_D_High_20190601_C2,3,436,,
BS_05_A_High_20190530_C2,3,354,,
BS_05_A_High_20190530_C2,4,584,,
BS_05_A_Low_2_20190622_C1,1,104,,
BS_05_A_Low_2_20190622_C1,2,817,,
BS_05_A_Low_20190624_C2,1,57,,
BS_05_D_High_20190524_C2,2,175,,
BS_05_D_High_20190524_C2,4,772,,
BS_05_D_Low_20190619_C2,2,353,,
BS_05_D_Low_20190619_C2,4,845,,
BS_W_02_20190604_C2,3,458,,
BS_W_02_20190604_C2,4,807,,
BS_W_03_20190605_C2,1,5,,
BS_W_04_20190605_C2,2,298,,
BS_W_04_20190605_C2,3,486,,
BS_W_05_20190605_C2,5,654,,
BS_W_06_20190606_C2,1,25,,
BS_W_07_20190606_C1,4,532,,need to exclude this one
BS_W_07_20190606_C1,5,796,,
BS_W_08_20190606_C1,1,28,,
BS_W_09_20190606_C1,1,63,,
BS_W_10_20190607_C2,1,47,,
BS_W_12_20190611_C2,5,891,,
BS_W_14_20190612_C2,3,343,,
BS_W_16_20190612_C2,1,38,,
BS_W_18_20190613_C2,1,42,,
BS_W_18_20190613_C2,3,474,,
CPS_01_A_High_20190518_C2,2,361,,
CPS_01_A_High_20190518_C2,3,550,,
CPS_01_A_High_20190518_C2,4,836,,
CPS_01_A_High_20190518_C2,5,1122,,
CPS_01_D_High_20190526_C2,2,250,,
CPS_01_D_High_20190526_C2,3,445,,
CPS_03_A_High_20190525_C2,2,257,,
CPS_03_A_Low_20190622_C1,2,286,,
CPS_03_A_Low_20190622_C1,3,513,,
CPS_03_B_High_20190528_C2,3,323,,
CPS_03_C_High_20190518_C2,1,114,,
CPS_03_C_Low_20190617_C2,3,474,,
CPS_03_C_Low_20190617_C2,4,642,,
CPS_03_D_Low_20190629_C2,3,432,,
CPS_04_A_High_20190527_C2,2,312,,
CPS_04_B_Low_20190624_C2,2,323,,
CPS_04_B_Low_20190624_C2,3,515,,
CPS_04_B_Low_20190624_C2,5,1013,,
CPS_04_C_Low_20190630_C2,2,176,,
CPS_04_C_Low_20190630_C2,3,363,,
CPS_04_D_High_20190519_C2,3,552,,
CPS_04_D_High_20190523_C2,1,137,,
CPS_04_D_High_20190523_C2,2,435,,
CPS_04_D_High_20190523_C2,3,785,,
CPS_04_D_Low_20190618_C2,1,30,,
CPS_05_A_High_20190524_C2,6,1245,,
CPS_05_A_High_20190524_C2,7,1525,,
CPS_05_A_Low_20190619_C2,1,27,,
CPS_05_A_Low_20190619_C2,4,846,,
CPS_05_C_High_20190527_C2,1,22,,
CPS_05_C_High_20190527_C2,3,404,,
CPS_05_D_High_20190601_C2,3,415,,
CPS_06_A_Low_20190623_C2,3,244,,
CPS_06_D_High_20190526_C1,1,114,,
CPS_06_D_High_20190526_C1,3,723,,
CPS_06_D_High_20190526_C1,6,1411,,
CPS_06_D_High_20190526_C1,7,1691,,
CPS_06_D_Low_20190618_C2,1,75,,
CPS_W_02_20190604_C2,1,7,,
CPS_W_02_20190604_C2,3,422,,
CPS_W_04_20190605_C2,1,44,,
CPS_W_04_20190605_C2,3,402,,
CPS_W_05_20190605_C2,2,315,,
CPS_W_05_20190605_C2,3,508,,
CPS_W_06_20190606_C2,3,200,,
CPS_W_06_20190606_C2,4,299,,
CPS_W_06_20190606_C2,5,380,,
CPS_W_07_20190606_C2,3,312,,
CPS_W_08_20190606_C2,1,54,,
CPS_W_08_20190606_C2,3,306,,
CPS_W_10_20190604_C2,2,233,,
CPS_W_10_20190604_C2,4,552,,
CPS_W_11_20190613_C2,2,185,,
CPS_W_11_20190613_C2,4,533,,
CPS_W_15_20190613_C2,2,252,,
CPS_W_15_20190613_C2,3,494,,
CPS_W_17_20190611_C2,1,9,,
CPS_W_18_20190614_C2,1,49,,
CPS_W_18_20190614_C2,2,234,,
DE_01_B_High_20190530_C2,1,34,,
DE_01_B_High_20190530_C2,4,566,,
DE_01_D_High_20190518_C2,1,44,,
DE_01_D_High_20190518_C2,2,394,,
DE_01_D_Low_20190617_C2,1,27,,
DE_01_D_Low_20190617_C2,2,262,,
DE_01_D_Low_20190617_C2,4,778,,
DE_02_A_High_20190531_C2,1,73,,
DE_02_B_High_2_20190529_C2,2,315,,
DE_02_B_High_2_20190529_C2,3,563,,
DE_02_B_High_2_20190529_C2,5,1046,,
DE_02_B_Low_20190623_C2,2,194,,
DE_02_C_High_20190526_C2,1,37,,
DE_02_C_High_20190526_C2,2,222,,
DE_02_C_Low_20190618_C2,2,301,,
DE_02_C_Low_20190618_C2,4,643,,
DE_02_D_High_20190519_C2,2,370,,
DE_03_A_High_20190524_C2,4,595,,
DE_03_A_Low_20190619_C2,1,61,,
DE_03_A_Low_20190619_C2,3,547,,
DE_03_A_Low_20190619_C2,6,1429,,
DE_03_D_High_20190527_C2,3,413,,
DE_04_A_High_20190528_C2,3,613,,
DE_04_A_High_20190528_C2,4,824,,
DE_04_C_High_20190518_C2,2,258,,
DE_04_C_High_20190518_C2,4,817,,
DE_04_C_High_20190518_C2,5,1093,,
DE_04_D_High_20190526_C2,1,40,,
DE_04_D_High_20190526_C2,2,235,,
DE_04_D_Low_20190622_C1,3,512,,
DE_04_D_Low_20190622_C1,4,756,,
DE_04_D_Low_20190622_C1,5,951,,
DE_05_A_High_20190529_C2,2,299,,
DE_05_A_Low_20190630_C2,2,222,,
DE_05_C_Low_20190618_C2,3,269,,
DE_05_D_High_20190527_C2,5,813,,
DE_05_D_Low_20190624_C2,2,202,,
DE_W_01_20190604_C2,3,426,,
DE_W_03_20190605_C2,2,197,,
DE_W_03_20190605_C2,3,401,,
DE_W_09_20190612_C2,2,115,,
DE_W_10_20190613_C2,2,268,,
DE_W_10_20190613_C2,3,456,,
DE_W_10_20190613_C2,4,603,,
DE_W_11_20190612_C2,3,208,,
DE_W_11_20190612_C2,4,366,,
DE_W_12_20190613_C2,2,216,,
DE_W_13_20190613_C2,4,454,,
DT_02_B_Low_20190617_C2,2,302,,
DT_02_B_Low_20190617_C2,3,552,,
DT_02_B_Low_20190617_C2,4,782,,
DT_02_C_Low_20190630_C2,1,31,,
DT_02_C_Low_20190630_C2,3,302,,
DT_02_D_High_20190526_C1,1,160,,
DT_02_D_High_20190526_C1,3,624,,
DT_02_D_High_20190526_C1,5,1221,,
DT_02_D_High_20190526_C1,6,1809,,
DT_02_D_Low_20190623_C2,4,418,,
DT_03_A_High_20190525_C2,1,57,,
DT_03_A_High_20190525_C2,5,1095,,
DT_03_A_Low_20190619_C2,1,67,,
DT_03_A_Low_20190619_C2,3,592,,
DT_03_A_Low_20190619_C2,6,1400,,
DT_03_A_Low_20190619_C2,7,1724,,
DT_03_C_Low_20190702_C2,2,191,,
DT_03_D_High_20190530_C2,1,21,,
DT_03_D_Low_20190701_C2,2,293,,
DT_04_A_High_20190526_C2,2,367,,
DT_04_A_High_20190526_C2,3,810,,
DT_04_A_High_20190526_C2,6,1679,,
DT_04_B_High_20190528_C2,3,569,,
DT_04_C_High_20190518_C2,1,99,,
DT_04_C_High_20190518_C2,2,319,,
DT_04_C_High_20190518_C2,3,576,,
DT_04_C_Low_20190617_C2,2,313,,
DT_04_D_High_20190531_C2,1,73,,
DT_04_D_High_20190531_C2,4,528,,
DT_05_A_High_20190531_C2,4,1162,,
DT_05_C_High_20190527_C2,3,429,,
DT_05_D_High_20190530_C2,1,34,,
DT_06_A_High_20190527_C2,1,30,,
DT_06_A_High_20190527_C2,5,896,,
DT_06_A_High_20190527_C2,6,1123,,
DT_06_B_High_20190529_C2,1,18,,
DT_06_B_High_20190529_C2,2,289,,
DT_06_C_High_20190519_C2,2,179,,
DT_06_C_High_20190519_C2,3,312,,
DT_06_C_Low_20190618_C2,1,33,,
DT_06_D_Low_20190702_C2,1,34,,
DT_W_01_20190604_C2,2,244,,
DT_W_01_20190604_C2,5,856,,
DT_W_02_20190604_C2,1,35,,
DT_W_02_20190604_C2,2,265,,
DT_W_03_20190605_C2,2,232,,
DT_W_04_20190605_C2,2,171,,
DT_W_04_20190605_C2,3,305,,
DT_W_05_20190605_C2,2,213,,
DT_W_05_20190605_C2,4,655,,
DT_W_07_20190606_C2,5,644,,
DT_W_08_20190607_C2,2,270,,
DT_W_08_20190607_C2,4,657,,
DT_W_11_20190611_C2,2,407,,
DT_W_14_20190612_C2,1,63,,
DT_W_20_20190613_C2,1,49,,
E1_01_A_High_20190530_C2,3,309,,
E1_01_A_Low_20190701_C2,2,316,,
E1_01_B_High_20190524_C2,2,179,,
E1_01_B_Low_20190619_C2,4,821,,
E1_01_C_High_20190601_C2,1,13,,
E1_01_C_High_20190601_C2,4,617,,
E1_02_A_High_20190528_C2,2,346,,
E1_02_A_High_20190528_C2,3,746,,
E1_02_C_High_20190518_C2,1,66,,
E1_02_C_High_20190518_C2,3,546,,
E1_02_C_Low_20190617_C2,1,36,,
E1_02_C_Low_20190617_C2,2,331,,
E1_02_D_High_20190525_C2,3,546,,
E1_02_D_Low_20190622_C2,2,178,,
E1_02_D_Low_20190622_C2,3,329,,
E1_03_A_High_20190531_C2,2,172,,
E1_03_B_High_20190530_C2,2,228,,
E1_03_B_High_20190530_C2,3,457,,
E1_03_B_High_20190530_C2,4,685,,
E1_03_B_Low_20190624_C2,2,217,,
E1_03_B_Low_20190624_C2,3,457,,
E1_03_C_High_20190524_C2,1,38,,
E1_03_C_High_20190524_C2,2,315,,
E1_03_C_High_20190524_C2,3,608,,
E1_03_C_High_20190524_C2,5,1083,,
E1_03_C_High_20190524_C2,6,1244,,
E1_03_C_High_20190524_C2,7,1486,,
E1_03_C_Low_20190619_C2,1,58,,
E1_03_C_Low_20190619_C2,2,236,,
E1_03_C_Low_20190619_C2,3,543,,
E1_03_C_Low_20190619_C2,4,784,,
E1_04_A_High_20190519_C2,1,117,,
E1_04_A_High_20190519_C2,2,523,,
E1_04_B_High_20190529_C1,3,528,,
E1_04_C_Low_20190623_C2,1,54,,
E1_04_C_Low_20190623_C2,2,188,,
E1_05_A_High_20190531_C2,4,833,,
E1_05_D_High_20190529_C2,3,452,,
E1_05_D_High_20190529_C2,4,672,,
GB_01_A_High_20190524_C2,1,16,,
GB_01_A_Low_20190619_C2,2,262,,
GB_01_A_Low_20190619_C2,3,444,,
GB_01_A_Low_20190619_C2,4,645,,
GB_01_B_Low_20190702_C2,1,40,,
GB_01_B_Low_20190702_C2,2,163,,
GB_01_D_High_20190527_C2,2,245,,
GB_01_D_High_20190527_C2,3,478,,
GB_01_D_Low_20190624_C2,4,450,,
GB_02_B_High_20190519_C2,2,157,,
GB_02_B_Low_20190618_C2,2,156,,
GB_02_B_Low_20190618_C2,3,411,,
GB_02_C_High_20190527_C2,1,27,,
GB_02_C_Low_20190623_C2,2,289,,
GB_02_C_Low_20190623_C2,3,439,,
GB_04_A_High_20190528_C2,3,460,,
GB_04_B_Low_20190617_C2,1,19,,
GB_04_B_Low_20190617_C2,4,767,,
GB_04_C_High_20190530_C2,1,99,,
GB_04_D_High_20190529_C2,1,78,,
GB_04_D_High_20190529_C2,2,290,,
GB_05_A_High_20190526_C1,2,378,,
GB_05_A_High_20190526_C1,4,784,,
GB_05_A_Low_20190623_C2,3,407,,
GB_05_C_High_20190519_C2,2,259,,
GB_05_D_Low_20190630_C2,3,466,,
GB_06_A_High_20190528_C2,2,382,,
GB_06_A_Low_20190625_C2,2,222,,
GB_06_B_Low_20190619_C2,3,495,,
GB_06_B_Low_20190619_C2,5,1027,,
GB_06_C_Low_20190701_C2,3,364,,
GB_06_D_Low_20190702_C2,1,58,,
GB_06_D_Low_20190702_C2,3,447,,
GB_W_01_20190528_C2,1,25,,
GB_W_01_20190528_C2,4,516,,
GB_W_01_20190528_C2,5,700,,
GB_W_01_20190528_C2,6,795,,
GB_W_01_20190528_C2,7,886,,
GB_W_02_20190528_C2,1,26,,
GB_W_02_20190528_C2,2,247,,
GB_W_02_20190528_C2,3,445,,
GB_W_03_20190528_C2,1,57,,
GB_W_03_20190528_C2,2,262,,
GB_W_03_20190528_C2,3,449,,
GB_W_04_20190529_C2,2,266,,
GB_W_04_20190529_C2,3,462,,
GB_W_04_20190529_C2,4,724,,
GB_W_05_20190529_C1,1,59,,
GB_W_05_20190529_C1,4,680,,
GB_W_08_20190526_C1,2,215,,
GB_W_09_20190529_C2,1,48,,
GB_W_09_20190529_C2,2,281,,
GB_W_09_20190529_C2,3,514,,
GB_W_10_20190529_C2,3,682,,
GB_W_12_20190611_C2,1,39,,
GB_W_15_2_20190612_C2,2,161,,
GB_W_15_20190612_C2,4,785,,
GB_W_17_20190613_C2,3,331,,
GB_W_19_20190613_C2,2,208,,
GB_W_19_20190613_C2,3,414,,
LO_02_A_High_20190527_C2,1,40,,
LO_02_A_High_20190527_C2,3,424,,
LO_02_A_Low_20190625_C2,2,198,,
LO_02_B_High_20190525_C2,4,563,,
LO_02_B_Low_20190619_C2,1,17,,
LO_02_B_Low_20190619_C2,2,181,,
LO_02_D_Low_20190701_C2,2,184,,
LO_03_A_Low_20190701_C2,3,298,,
LO_03_C_High_20190530_C2,2,132,,
LO_03_D_High_20190524_C2,1,136,,
LO_04_A_High_20190527_C2,1,46,,
LO_04_C_High_20190519_C2,1,159,,
LO_04_C_High_20190519_C2,2,871,,
LO_04_C_High_20190519_C2,3,1478,,
LO_04_C_Low_20190618_C2,2,184,,
LO_04_D_Low_20190702_C2,4,444,,
LO_05_A_High_20190526_C2,1,20,,
LO_05_A_High_20190526_C2,3,408,,
LO_05_B_High_20190518_C2,3,540,,
LO_05_C_High_20190529_C2,2,209,,
LO_05_C_High_20190529_C2,5,840,,
LO_05_C_High_20190529_C2,6,1048,,
LO_05_C_Low_20190630_C2,1,10,,
LO_05_C_Low_20190630_C2,3,432,,
LO_05_D_Low_20190701_C2,4,600,,
LO_05_D_Low_20190701_C2,5,798,,
LO_06_A_Low_20190629_C2,4,454,,
LO_06_B_Low_20190617_C2,4,684,,
LO_06_C_High_20190525_C2,3,440,,
LO_06_C_High_20190525_C2,4,638,,
LO_06_C_Low_20190622_C1,2,218,,
LO_06_C_Low_20190622_C1,4,610,,
LO_06_D_Low_20190701_C2,2,300,,
LO_W_01_20190604_C2,2,291,,
LO_W_01_20190604_C2,4,811,,
LO_W_02_20190611_C2,4,600,,
LO_W_04_20190611_C2,1,51,,
LO_W_04_20190611_C2,4,783,,
LO_W_05_20190612_C2,1,58,,
LO_W_05_20190612_C2,2,224,,
LO_W_05_20190612_C2,3,402,,
LO_W_05_20190612_C2,4,626,,
MI_01_A_High_20190530_C2,1,20,,
MI_01_A_High_20190530_C2,2,260,,
MI_01_A_Low_20190701_C2,2,240,,
MI_01_A_Low_20190701_C2,3,468,,
MI_01_B_Low_20190619_C2,2,207,,
MI_01_C_High_20190527_C2,2,218,,
MI_01_C_Low_20190625_C2,3,493,,
MI_02_A_High_20190531_C2,1,36,,
MI_02_B_High_20190519_C2,3,755,,
MI_02_B_Low_20190618_C2,2,207,,
MI_02_C_High_20190526_C2,1,13,,
MI_02_C_Low_20190623_C2,3,408,,
MI_02_C_Low_20190623_C2,4,594,,
MI_02_C_Low_20190702_C2,2,243,,"cropping is wrong, I think"
MI_02_C_Low_20190702_C2,3,405,,
MI_02_C_Low_20190702_C2,4,594,,
MI_02_D_Low_20190630_C2,2,215,,
MI_03_B_High_20190518_C2,2,243,,
MI_03_D_Low_20190622_C2,1,30,,
MI_03_D_Low_20190622_C2,3,400,,
MI_05_A_Low_20190630_C2,2,385,,
MI_05_A_Low_20190630_C2,3,534,,
MI_05_A_Low_20190630_C2,6,1232,,
MI_05_B_High_20190527_C2,2,246,,
MI_05_B_High_20190527_C2,3,503,,
MI_05_C_High_20190529_C2,2,268,,
MI_05_C_Low_20190624_C2,2,272,,
MI_05_D_High_20190523_C2,1,24,,
MI_05_D_High_20190523_C2,2,312,,
MI_05_D_High_20190523_C2,3,594,,
MI_05_D_High_20190523_C2,4,898,,
MI_05_D_High_20190523_C2,5,1175,,
MI_05_D_High_20190523_C2,7,1681,,
MI_06_A_High_20190529_C2,1,14,,
MI_06_A_High_20190529_C2,3,680,,
MI_06_A_Low_20190629_C2,2,157,,
MI_06_A_Low_20190629_C2,3,291,,
MI_06_B_High_20190526_C2,1,91,,
MI_06_B_High_20190526_C2,2,307,,
MI_06_C_High_20190518_C2,3,613,,
PB_01_A_High_20190530_C2,1,25,,
PB_01_A_High_20190530_C2,3,409,,
PB_01_A_High_20190530_C2,4,658,,
PB_01_A_High_20190530_C2,5,801,,
PB_01_B_Low_20190619_C2,2,246,,
PB_01_B_Low_20190619_C2,4,611,,
PB_01_C_High_20190524_C2,2,178,,
PB_01_C_High_20190524_C2,4,603,,
PB_01_D_High_20190527_C2,2,206,,
PB_01_D_High_20190527_C2,4,685,,
PB_02_A_High_20190531_C2,1,51,,
PB_02_B_Low_20190630_C2,4,657,,
PB_02_C_Low_20190618_C2,2,209,,
PB_02_D_High_20190526_C2,1,29,,
PB_02_D_High_20190526_C2,2,222,,
PB_02_D_Low_20190623_C2,2,199,,
PB_04_A_High_20190523_C2,1,46,,
PB_04_A_High_20190523_C2,2,459,,
PB_04_A_High_20190523_C2,4,1163,,
PB_04_B_High_20190527_C2,2,244,,
PB_04_C_High_20190531_C2,2,281,,
PB_04_C_High_20190531_C2,4,775,,
PB_04_D_High_20190530_C2,4,745,,
PB_04_D_High_20190530_C2,5,1048,,
PB_05_A_High_20190526_C2,2,165,,
PB_05_A_High_20190526_C2,4,575,,
PB_05_A_Low_20190622_C1,1,59,,
PB_05_A_Low_20190622_C1,2,302,,
PB_05_B_High_20190518_C2,2,319,,
PB_05_B_High_20190518_C2,3,629,,
PB_05_B_High_20190518_C2,4,804,,
PB_05_E_High_20190529_C2,3,313,,
PB_06_A_Low_20190617_C2,2,269,,
PB_06_A_Low_20190617_C2,3,431,,
PB_06_B_High_20190528_C2,3,498,,
PB_06_C_High_20190525_C2,3,445,,
PB_06_C_High_20190525_C2,5,878,,
PB_06_C_Low_20190620_C2,2,202,,
PB_06_C_Low_20190622_C1,2,270,,
PB_06_D_High_20190530_C2,1,73,,
PB_06_D_High_20190530_C2,3,472,,
PB_06_D_High_20190530_C2,5,825,,
PB_W_01_20190528_C2,1,43,,
PB_W_01_20190528_C2,3,500,,
PB_W_02_20190526_C1,1,71,,
PB_W_02_20190526_C1,4,689,,
PB_W_03_20190528_C2,1,44,,
PB_W_03_20190528_C2,3,575,,
PB_W_04_20190526_C1,4,641,,
PB_W_05_20190528_C2,1,39,,
PB_W_05_20190528_C2,2,314,,
PB_W_07_2_20190604_C2,1,94,,
PB_W_07_2_20190604_C2,3,579,,
PB_W_07_2_20190604_C2,4,780,,
PB_W_07_20190604_C2,1,23,,
PB_W_07_20190604_C2,2,231,,
PB_W_08_20190605_C2,1,92,,
PB_W_08_20190605_C2,2,333,,
PB_W_08_20190605_C2,3,551,,
PB_W_11_20190610_C2,1,91,,
PB_W_11_20190610_C2,2,311,,
PB_W_11_20190610_C2,3,480,,
PB_W_12_20190610_C2,3,717,,
PB_W_13_20190610_C2,4,944,,
PB_W_14_20190610_C2,2,551,,
PB_W_14_20190610_C2,3,1018,,
PB_W_14_20190610_C2,6,2704,,
PB_W_14_20190610_C2,7,3084,,
PB_W_15_20190610_C2,1,127,,
PB_W_15_20190610_C2,3,752,,